"Nome Fantasia ","Responsável pelas compras","Telefone ","Rua","Bairro","Cidade","Atividade",""
"Acougue e bar do bassini","Tatiane","28999128484","R maria hortiz 721 castelo","Vila Isabel","Castelo ","Restaurante",""
"Armazem e Acougue Falconi","Lidiane","28998864220","Rua Maria ortiz, 660, Vila Isabel,  Castelo ","Vila Isabel","Castelo","Mercearia",""
"Padaria universo do pão ","Cristiane almeida","28999378313","R. Maria hortiz 759 vila isabel castelo","Vila Isabel","Castelo","Padaria",""
"Bar do Cabelinho","Neuza Maria Ramiro Pires Martins ","28999009746","Rua Maria Ortiz, 668, Vila Isabel,  Castelo","Vila Isabel","Castelo","Restaurante",""
"Lmn supermercado","Sandra","28999963536","Rua Lídia machado 357","Santo Andrezinho","Castelo","Mercearia",""
"Padaria popalexaular","Alexandre","28999647256","Rua  lídio machado 246  santo Andrezinho. Castelo","Santo Andrezinho","Castelo","Padaria",""
"Bar da neuza","Neuza","28999051103","R  maria hortiz 756 vila isabel castelo","Vila Isabel","Castelo","Restaurante",""
"Hortifruti mercearia do sapateiro","Roberto","28999395805","Rua lídio machado número 229","Santo Andrezinho","Castelo","Mercearia",""
"Pizzaria e lanchonete santa anna","Fechado tem q ligar","28999110405","R jose pedro pedruzzi 352","Vila Barbosa","Castelo","Restaurante",""
"Freitas Bar e Lanchonete ","Adelson","28998828500","Rua António Ranjel, 80, Volta Redonda,  Castelo","Volta Redonda","Castelo","Restaurante",""
"Exagerado fried chicken","Fechado tem q ligar","28999410853","R jose pedro pedruzzi 153 castelo","Volta Redonda","Castelo","Restaurante",""
"Padaria volta redonda","Adaltom","28999733559","Rua Braz fazzio, 8, Volta redonda, Castelo ","Volta Redonda","Castelo","Padaria",""
"Comercial volta redonda","Natalia tem q ligar","28999297178","R antonio rangel 71 volta redonda castelo","Volta Redonda","Castelo","Mercearia",""
"Sorvete do claudinho ","Claudio tem q ligar","28999687968","Rua antonio rangel 95 volta redonda castelo","Volta Redonda","Castelo","Sorveteria",""
"Bar e Hortifruti Forno Grande ","Regiani Aparecida Da Silva Hoza","28999872014","Rua António Rangel, 186, Volta Redonda,  Castelo","Volta Redonda","Castelo","Restaurante",""
"Padaria levain","Clayton","28999184767","Av.lidelio machado,148, nossa senhora Aparecida- castelo","Nossa Senhora Aparecida","Castelo","Padaria",""
"Sabor e saude","Luiz augusto m","28999010014","R antonio rangel 183 volta redonda castelo","Volta Redonda","Castelo","Padaria",""
"Bar do Geraldo","Geraldo","28999442531","Rua António Rangel, 319, Volta Redonda,  Castelo","Volta Redonda","Castelo","Restaurante",""
"Hortifruti Brunelli","Cátia Brunelli","28999014646","Av. Nossa senhora da penha 339 centro castelo","Centro","Castelo","Hortifruti",""
"Verdurao do kilo","Aloiso","28999151859","av.joao blei,322, nossa senhora Aparecida- castelo","Nossa Senhora Aparecida","Castelo","Hortifruti",""
"Hortifruti","Paulo Sérgio","28999190349","Av  nossa senhora da penha número  ao lado casa lotérica . Perto do PERIM novo","Niteroi","Castelo","Hortifruti",""
"Sabor de família ","Tem que ligar","28998856035","Av. João Bley, nossa senhora Aparecida- castelo","Nossa Senhora Aparecida","Castelo","Restaurante",""
"Bar da vera","Vera tem q ligar","28999236157","Rua nice rangel soares 50 vila isabel  castelo","Vila Isabel","Castelo","Restaurante",""
"Padaria viana ","João ","28999156362","Rua lídio machado, 77 centro- castelo","Centro","Castelo","Padaria",""
"Hortefrute andriao","Luan gava","28999767600","Rua lídio machado,10, nossa senhora Aparecida- castelo","Nossa Senhora Aparecida","Castelo","Mercearia",""
"Bar do pedruse","Paulo","28999920686","Rua Bernardino monteiro,376, nossa senhora Aparecida- castelo","Nossa Senhora Aparecida","Castelo","Restaurante",""
"Hortifruti avenida","Jonaelcio ","28999212397","Av senhora da penha número 476","Niteroi","Castelo","Hortifruti",""
"Ricardo  José passam","Ricardo","28999695005","Av nossa senhora da penha número 318 centro castelo","Centro","Castelo","Mercearia",""
"Açougue lozada","Joel ","28998863336","Av nossa senhora da penha número 288 castelo","Niteroi","Castelo","Mercearia",""
"Polentinha casa dos caldos ","Tem que ligar","28999379393","Ed wantuyl desteffani 670 centro castelo","Centro","Castelo","Restaurante",""
"Me gusta  pizzaria","Fechado tem q ligar","28999649573","Ed wantuyl desteffani 670 centro castelo","Centro","Castelo","Restaurante",""
"Açaí du jhon","Fechado tem q ligar","28999166737","Av nossa senhora da penha 422 centr9 castelo ","Centro","Castelo","Sorveteria",""
"Sorvfrut","Paulo Sérgio","28998868090","Av senhora da penha número 630 castelo","Niteroi","Castelo","Restaurante",""
"Restaurante alledi","Juvenal","2835420933","Av nossa senhora da penha 190 loja 01 centro castelo","Centro","Castelo","Restaurante",""
"Padaria  novo sabores","Julio","28999578603","Av. Nossa senhora da penha número    obs frente polentina","Niteroi","Castelo","Restaurante",""
"Açougue louzado","Joel de Almeida","28999663309","Av.nossa senhora da penha,278- centro- castelo","Centro","Castelo","Mercearia",""
"Armazem, Touse","Elizeu e Gustavo","28999040772","Avenida Nossa senhora da penha, 168, centro Castelo","Centro","Castelo","Mercearia",""
"Bumblebee","Fabiano","28999671212","Av nossa senhora da penha  ","Centro","Castelo","Restaurante",""
"Bar do ponto principal","Jose carlos","28999412610","Av nossa senhora da penha centro castelo","Centro","Castelo","Restaurante",""
"Posto líder","Érica","28999677669","Av nossa senhora da penha número 420","Centro","Castelo"," Conveniência",""
"Lanchonete barramas ","Michele ","289880801201","Av.nossa senhora da penha,387- centro castelo ","Centro","Castelo","Restaurante",""
"Lanchonete hora do lanche","Viviane e abel ","28999735170","R aristeu borges de aguiar 34 centro castelo ","Centro","Castelo","Restaurante",""
"Hortifruti avenida","Jonaelsio","28999212397","Av. Nossa senhora da penha,476","Centro","Castelo","Mercearia",""
"Forno grande padaria e lanchonete","Andreia ou viviane tem q ligar","28999966732","R aristeu borges de aguiar 101 centro castelo","Centro","Castelo","Padaria",""
"Padaria e confeitaria família","Pedro germano","28988145020","Av.nossa senhora da penha 573, centro- castelo","Centro","Castelo","Padaria",""
"S o s distribuidora","Estevao laquini","28999228823","Av nossa senhora da penha 195 centro castelo","Centro","Castelo","Distribuidora",""
"Mimi Lanches","Tem de ligar ","28999950506","Avenida nossa senhora da penha, Centro, Castelo ","Centro","Castelo","Restaurante",""
"Lanchonete 2 irmãos ","Delvanir Teixeira ","28999720251","Avenida Nossa Senhora da penha, 814, centro Castelo","Centro","Castelo","Restaurante",""
"Restaurante estrela do sul","Regina e livia","28999517180","Av nossa senhora da penha 999 centro castelo ","Centro","Castelo","Restaurante",""
"Sorvimel","Fechado tem que ligar","28999098750","Rod.fuede neme- castelo","Centro","Castelo","Restaurante",""
"Mini Expo","Ursula","28999864352","Rua Eugênio Fracarili, 43, Exposição,  Castelo","Centro","Castelo","Mercearia",""
"Bebidas GEGE","Estevão ","28999228823","Av nossa senhora da penha número 1186","Centro","Castelo","Distribuidora",""
"Restaurante del burguer","Délcio ","28998865533","Rua goerino zanqueto, 15- castelo","Centro","Castelo","Restaurante",""
"Padaria master pão ","Josinei barbosa cosmo","28999713270","R eugenio fracaroli 43 bairro loteamento exposição  castelo","Centro","Castelo","Padaria",""
"Bar da suedi","Suedi","28999737727","R  professor carmem esquetini 1 exposição  castelo","Centro","Castelo","Restaurante",""
"Bar Do Ailton","Ailton/ Veronica ","28999153419","Avenida Giovanni Passi, 705, exposição,  Castelo","Centro","Castelo","Restaurante",""
"Padaria castelo do pão ","Bruna","28999271442","Rodovia familia requieri bairro boa fé exposição  castelo","Boa fé /Exposição","Castelo","Padaria",""
"Espetinho, lanches D'toni","Antônio/ Douglas","28999463702","Av.nossa senhora da penha,1297- rua da mangueira , centro- castelo","Centro","Castelo","Restaurante",""
"Choperia","Ligar e pegar","28999098750","Av nossa senhora da penha castelo","Centro","Castelo","Restaurante",""
"Bar e mercearia clips","Luciano","2835422060","Av. Nossa senhora da penha número 1548","Centro","Castelo","Restaurante",""
"Supermercado juarez","Gerson","31985101043"," Av nossa senhora da penha número 1545","Centro","Castelo","Supermercado",""
"Restaurante paladar","Axiee ","28999597661","Av.nossa senhora da penha","Centro","Castelo","Restaurante",""
"Bar e mercearia fae","Romildo fae","28999611414","Av.nossa senhora da penha, 1669- castelo","Centro","Castelo","Restaurante",""
"PADARIA  dois amigos","Angelo","28999088684","Rod. Fued Nemer   ","Centro","Castelo","Padaria",""
"Padaria Erica","Céliane","28999751875","Rod fued Nemer 1695","Centro","Castelo","Padaria",""
"Bar do ponto oliveira","Oliveira","28999841954","R soares s.n bairro idependencia castelo","Independencia/Castelo","Castelo","Restaurante",""
"Bar do Abel","Abel ","28999066658","Rua Anisio Novais, 279, Independência,  Castelo","Independencia/Castelo","Castelo","Restaurante",""
"MVR","José  ","28999223185","ROd. Fued Nemer número 2760 esplanada castelo","Esplanad","Castelo","Restaurante",""
"Bar açougue avenida ","Fechado tem que ligar","28999592581","Rodovia Cachoeiro x castelo","","Castelo","Restaurante",""
"Hortifruti Independência ","Jansen","28999135822","Rua Anisio Novais, 534, Independência,  Castelo","Independencia/Castelo","Castelo","Mercearia",""
"Comercial venturim","Paulo Henrique venturin","28999844475","R vereador anizio novaes independencia castelo","Independencia/Castelo","Castelo","Mercearia",""
"Confeitaria merenda de casa","Nivaldo ","28999596483","R alcino rangel 635 independencia castelo","Independencia/Castelo","Castelo","Padaria",""
"Michael belgifael","Michael","28999251820","Rua João Guedes número 100apt 303","Santa Bárbara","Castelo","Fábrica de vinho",""
"Celma belge cristo","Celma","28999344688","Rua ciriema bairro Bela vista 22","Bela Vista","Castelo","Auxiliar de escritório",""
"Salgados da alessandra","Alessandra tem que ligar","28999864166","R anizio novaes 62 independencia castelo","Independencia","Castelo","Restaurante",""
"Marceria carizan","Aluísio.","28999661263","Rua Alfredo marum nascade número 12 esplanada castelo","Esplanada","Castelo","Marcenaria e Madereira",""
"Restaurante Maria Bonita","Maria Eduarda","28999230016","Rodovia Fued nemer, 12, Santa Bárbara,  Castelo","Santa Bárbara","Castelo","Restaurante",""
"Recanto caseiro","Regilaine","27996438463","Rod. Fuede mende, castelo- posto castelão","Posto Castelão","Castelo","Restaurante",""
"Gold beer bar","Tem que ligar","28999745022","Rodovia fued nemer batista castelo","","Castelo","Restaurante",""
"Ita lanches","Sebastião","28999133094","Rua Amélia aledi ribeiro de Assis 2- castelo","","Castelo","Mercearia",""
"Bar e mercearia sao gabriel ","Mateus","28999230260","Rua antonio esquetino n 4 castelo 3 castelo","","Castelo","Mercearia",""
"Igramar","Saulo ","28999667102","Rodovia Fued nemer, km 46, Castelo","","Castelo","Marmoraria",""
"Hotel Forte do castelo","Lidia maria zanette ","28999312591","Rod.fuede demer km03, na frente da demacal- castelo","","Castelo","Hotéis",""
"Natural Rocha ","Ingrid","28999932133","Rodovia Fleud Nemer Km4 , Aracui","","Aracui","Marmoraria",""
"Parada agua de coco","Josiane","28999075345","Av fued demer ao lado do sobore caminhoes castelo","","Castelo","Restaurante",""
"Pastel de vento aracuí","Marcos roberto","22998405431","Rua flued nemer entrada de aracuí","","Aracui","Restaurante",""
"Fraga distribuidora","Roberto","28999043039","Praça coronel martins 61 aracuí","","Aracui","Distribuidora",""
"Rota do espeto","Alan","28999733580","Rod. Fued nemer,41- Aracuí- sentindo castelo ","","Aracui","Restaurante",""
"Bar do borginho","Whoscchit","28999041910","Praça coronel Martins número 20  Aracuí distritos castelo","","Aracui","Restaurante",""
"Kidelicias da delminha ","Fechado ten q ligar","28999262813","Praça coronel martins 58 aracuí","","Aracui","Confeitaria",""
"Padaria aracuí","Lecimar soares","28998835930","Praça de aracuí rua santo André  aracuí","","Aracui","Padaria",""
"Insta lanches","Terezinha soares","28999423321","Praça de aracuí rua santo andre aracuí","","Aracui","Restaurante",""
"Padaria kidelicia","Naike Moreira/ maria","28999815687","Rua coronel José Mesquita,62- Aracuí","","Aracui","Padaria",""
"Mercearia da gloria","Glória ","28999268180","Praça coronel martins 279 aracuí","","Aracui","Mercearia",""
"Vip stone","Manica/Gustavo","28999655075","Rod fued nemer,s/n km 6,0- Aracuí","","Aracui","Marmoraria",""
"Bramagran","Shirley/ Shirley","2835428150","Rodovia Feud Nemer, Km 7 , Aracui","","Aracui","Marmoraria",""
"Leccheng","Luana ","28999535285","Rodovia Fuet Nemer Km 7.5, Aracui , Castelo ","","Aracui","Marmoraria",""
"Hortifruti da Cléo","Clemilda Meira vieira","28999408332","Rua Anacleto lozada s/ n  ao lada praça  ","","Aracui","Hortifruti",""
"Espetinhos E Cia","Drielle","28999664427","Avenida Cândido Camara, Conduru","","Conduru","Restaurante",""
"Padaria de conduru ","Alessandra","28992752727","Av candido camara conduru","","Conduru","Padaria",""
"R.a supermercados ","Ana/ Roberto","28992746309","Rod.es-166-castelo x Cachoeiro- conduru ","","Conduru","Supermercado",""
"Restaurante da neuzinha","Fechado tem ligar","28999216871","Av candido camara conduru","","Conduru","Restaurante",""
"Padaria e confeitaria santa rita","Yasmin e Silvia","2835395182","Rua coronel Francisco Ataíde,33- Conduru","","Conduru","Restaurante",""
"Distribuidora Grillos","Vitor / Andressa","28999724350","Avenida Candido Camarea , Conduru","","Conduru","Distribuidora",""
"Mercearia da lidia","Alessandra e lailson","28998850931","R manoel simao da rocha 4 conduru","","Conduru","Mercearia",""
"Aconchego Lanches ","Ligar","289992548783","Avenida Cândido Camera , 12, Conduru","","Conduru","Restaurante",""
"Lanchonete Di Poli","Reonaldo ","2835395152","Avenida Cândido Camera 31, Conduru ","","Conduru","Restaurante",""
"Bar Casa Carreira","Luciene","28999929419","Avenida Cândido Camera, 32, Conduru ","","Conduru","Restaurante",""
"Barbigran","Solange","28999199353","Rod.ES- castelo x Cachoeiro","","Conduru","Marmoraria",""
"Nemer","Mariana","28999477303","Avenida Fueder Nemer, km10 , conduru","","Conduru","Marmoraria",""
"Avenida auto peças ","Geovani ","2830280606","Rod engenheiro fabiano vivacqua 1 marbrasa cachoeiro ","Marbrasa","Cachoeiro de Itapemirim","Automotivo ",""
"Azza abrasivos","Andressa","28999005757","Rod engenheiro fabiano vivacua 529, centro comercial itabirito- Marbrasa","Marbrasa","Cachoeiro de Itapemirim","Loja",""
"Nicole veículos","Nicole","2835177545","Rod engenheiro fabiano vivacua- em frente comercial Itabira, Marbrasa Cachoeiro","Marbrasa","Cachoeiro de Itapemirim","Revenda de veículos",""
"Auto imports","Leonardo","28999860462","Rodovia engenheiro fabiano vivacqu 529 marbrasa cachoeiro de itapemirima ","Marbrasa","Cachoeiro de Itapemirim","Automotivo ",""
"Cachoeiro parafuso ","Adriano","28999170706","Rod engenheiro fabiano vivacua, comercial Itabira. Marbrasa","Marbrasa","Cachoeiro de Itapemirim","Loja",""
"Life fiat","Maria cristina morais lopes","28999593941","R maria amelia curcio xavier 19 paraiso ","Paraiso","Cachoeiro de Itapemirim","Restaurante",""
"Vl freios ","Valdeci","28999330706","Rua engenheiro fabiano vivacqua 529 marbrasa cachoeiro ","Marbrasa","Cachoeiro de Itapemirim","Automotivo ",""
"Irmãos coelhos ","Geise","2821029090","Rod engenheiro fabiano vivacqua, 469,- Marbrasa- Cachoeiro","Marbrasa","Cachoeiro de Itapemirim","Loja",""
"Avante caminhoes","Alcimara","28998853838","Rod.engenheiro Fabiano vivacqua, 335- marbrasa- Cachoeiro","Marbrasa","Cachoeiro de Itapemirim","Revenda de veículos",""
"Itamil","Leonardo/ izaias","2821021000","Rod. Engenheiro fabiano vivacua, marbrasa- Cachoeiro","Marbrasa","Cachoeiro de Itapemirim","Automotivo ",""
"Duarte produtos metalurgicos","Bruna","28999458915","Av alam kardeque 58 bnh cachoeiro ","BNH","Cachoeiro de Itapemirim","Automotivo ",""
"Delicias da glaucia","Glaucia tem q ligar","28999190977","Av allan kardec 42 bnh cachoeiro ","BNH","Cachoeiro de Itapemirim","Confeitaria",""
"Tonetto","João ","28988143778","Av.allan Kardec,18- BNH","BNH","Cachoeiro de Itapemirim","Loja",""
"Mega moveleira","Natan","28999002010","Av.allan kardec,12- BNH - Cachoeiro","BNH","Cachoeiro de Itapemirim","Marcenaria e Madereira",""
"Multicores ","Adriano","289994222252","Av.raul Nassar,58,waldair furtado amorim-bnh- Cachoeiro","BNH","Cachoeiro de Itapemirim","Outros",""
"Oficina bazoni","Marlene tem q ligar pra ela","28999067673","Rua raul nassar bairro waldir furtado amorim bnh cachoeiro ","BNH","Cachoeiro de Itapemirim","Automotivo ",""
"Hotel otavarp ","Rita ","28999997676","Rua leopoldino prates 37 bnh cachoeiro ","BNH","Cachoeiro de Itapemirim","Hotéis",""
"Benincá mecânica á","Viviane","2835212677","Rua alcebiades jose sobreira 97 bnh cachoeiro","BNH","Cachoeiro de Itapemirim","Automotivo ",""
"Massa de pastel caseira renovada","Fechado tem q ligar","28999485158","Rua pacifico pezzodipane 57 bhn cachoeiro","BNH","Cachoeiro de Itapemirim","Restaurante",""
"Picolé e sorvete","Fatima","28999641179","R alcebiades sarmento 53 bnh cachoeiro","BNH","Cachoeiro de Itapemirim","Sorveteria",""
"M E Granitos ","Lorrana","28999775570","Rodovia Feud Nemer, Km 10, Condoru","Conduru","Conduru","Marmoraria",""
"Bramagran","Euzete","28998860957","Rodovia Feud Nemer,  km10 , Aracui","","Aracui","Marmoraria",""
"Restaurante Barmagran","Margarete","28999881387","Rodovia Feud Nemer,  Km 07, Barmagran, Aracui","Barmagran","Aracui","Marmoraria",""
"Caliman Pedras ","Adair Caliman","28999860080","Rodovia Feud Nemer,  Conduru","","Conduru","Marmoraria",""
"Pagani parafusos","Diego","2830252121","Av. Mauro miranda madureira 1630 central parque cachoeiro ","Central Parque","Cachoeiro de Itapemirim","Comercio",""
"Car personal veículos","Herion de melo","28999832461","Av.mauro Miranda madureira1527- coramara","Coramara","Cachoeiro de Itapemirim","Revenda de veículos",""
"D & D Stone","Daniela","28999477974","Rodovia Feud Nemer,  km09, Conduru ","Conduru","Conduru","Marmoraria",""
"Venturim multi marcas","Andre venturin","28999468282","Av mauro miranda madureira 1530 central parque cachoeiro ","Central Parque","Cachoeiro de Itapemirim","Revenda de veículos",""
"Sul turbo diesel ","Clemiuda","28999175110","Av mauro miranda madureira 1492 central parque","Central Parque","Cachoeiro de Itapemirim","Automotivo ",""
"Collodetti Granitos ","William ","28999085651","Rodovia Feud Nemer,  Conduru ","Conduru","Conduru","Marmoraria",""
"Caxu diesel","Patricia","2835211048","Av mauro miranda madureira  1462 central Park cachoeiro","Central Parque","Cachoeiro de Itapemirim","Vendas e serviços ",""
"Marmifera Parana ","Daiana","28999302259","Rodovia Feud Nemer,  Condoru","Conduru","Conduru","Marmoraria",""
"Cbp macedo","Karla","2821010900","Av.mauro Miranda madureira1249- coramara","Coramara","Cachoeiro de Itapemirim","Distribuidora",""
"Masioli Granitos","Mariana","28981136004","Rodovia Feud Nemer,  km17,5 , Condoru","Conduru","Conduru","Marmoraria",""
"Iza rocha do Brasil","Parecida compras","28999173300","Rod. Fued Nemer km 17.5 sapecado Conduru","Conduru","Conduru","Marmoraria",""
"Lanchonete da rodoviaria nova de alegre","Jorge","28988053673","Rodovia br 482  alegre x cachoeiro s.n rodoviaria nova de alegre","rodovia","Cachoeiro de Itapemirim","Restaurante",""
"MP4 granitos ltda","Walkiria mesquita brezinski","28,999,011,274","Rod. Flued mener km 17,5 s/n sapecado distrito canduru","Conduru","Conduru","Marmoraria",""
"Cidade hotel ","Valéria ","28998867371","Rodovia br 482 alegre x cachoeiro alegre","Centro","Alegre","Hotéis",""
"Supermercado big","Juliano ( ele fica no big de guaçui)","28999174918","Rodovia br 482 alegre x cachoeiro alegre","Centro","Alegre","Supermercado",""
"Pinheiro cereais","Erivelton","2835523262","Praça rui barbosa 85 centro alegre","Centro","Alegre","Mercearia",""
"Serra Negra","Aline","2821025800","Rod.fuede nemer,km 22- Conduru","Conduru","Conduru","Marmoraria",""
"Hotel progresso ","Fechado tem que ligar","28999352237","Rodoviaria velha centro de alegre","Centro","Alegre","Hotéis",""
"Granlub granitos ","Talles","28992543615","Rod.fuede nemer, km 22- conduro","Conduru","Conduru","Marmoraria",""
"Bar e lanchonete da antiga rodoviaria","Marino mendel da cruz ","28999621658","Praça 6 de janeiro centro rodoviaria velha de alegre","Conduru","Conduru","Restaurante",""
"MG2  Marmores e Granitos ","Cleyton Ribeiro","28992521692","Rodovia Feud Nemer,  Condoru","Conduru","Conduru","Marmoraria",""
"Bar do dauton","Dauton","28988048156","Praça rui barbosa rodoviaria velha centro de alegre","Centro","Alegre","Restaurante",""
"Pousada e lanchonete jc","Jose","28999120078","Praça rui barbosa 97 centro rodoviaria velha alegre","Centro","Alegre","Restaurante",""
"Padaria amil ","Lucio","28999466009","Rua dulcino pinheiro 81 centro rodoviaria velha de alegre","centro","Alegre","Padaria",""
"Laka marmores e granitos","Italo","2821023360","Rod engenheiro fabiano vivacua, duas barras","Duas barras","Cachoeiro de Itapemirim","Marmoraria",""
"Serra norte","Enir","28999851271","Rod Cachoeiro Alegre km 22 duas barras ","Duas barras","Cachoeiro de Itapemirim","Marmoraria",""
"Granexpo Brasil","Claudio","28999393631","Av. Morro grande, duas barras- porto posto de polícia","Duas barras","Cachoeiro de Itapemirim","Marmoraria",""
"Lanchonete do toco ","Vinicius de abreu  ou victor de abreu ","28999176341","Rua dulcino pinheiro 65 centro alegre","Centro","Alegre","Restaurante",""
"Sorveteria surpresa","Jase carlos ","28999868074","Praça 6 de janeiro 22 centro alegre","Centro","Alegre","Sorveteria",""
"Emerson soares sorvetes","Rodrigo ","28999398540","Rua joao tanure 27 guararema alegre","Guararema ","Alegre","Sorveteria",""
"Restaueante casa velha","Laudelino","28981110303","Rua dr vanderley n 39 centro alegre","Centro","Alegre","Restaurante",""
"Acaíteria p & b ","Fechado tem que ligar ","28998821588","Praça da bandeira 100 centro alegre","Centro","Alegre","Sorveteria",""
"Hamburgao de alegre","Fechado tem que ligar","28999486776","Rua dr wanderley 379 centro alegre","centro","Alegre","Restaurante",""
"Bao dimais sorveteria","Fechado tem que ligar","28998817491","Rua dr wanderley n 391 centro alegre","Centro","Alegre","Sorveteria",""
"Komelão","Fechado tem que ligar","28999129125","Praça irmã palmira sn centro alegre","Centro","Alegre","Restaurante",""
"Degraus doce","Leonardo ","28999058818","Rua jose felipe da silva 39 centro alegre","Centro","Alegre","Distribuidora",""
"Japaçui culinaria oriental","Miguel","33991437578","Praça Sebastião Monteiro gama 118 centro alegre","Centro","Alegre","Restaurante",""
"Bolo de pote delivery","Fechado tem q ligar ","28999647874","R virginio rezende 68 centro alegre","Centro","Alegre","Confeitaria",""
"Bar da aabb de alegre","Joaquim","28999247823","Rua jose felipe da silva 118 AABB centro alegre","Centro","Alegre","Restaurante",""
"Bar do Zé nildo ","Jose nildo ","28999633539","R antonio marins 22 centro alegre","Centro","Alegre","Restaurante",""
"Refeitex bar e restaurante","Renan de abreu araujo","28998866108","R dr wanderley 266 centro alegre","Centro","Alegre","Restaurante",""
"Alcilei maria moreira me","Alcileia","28999239870","Rua 15 de novembro 73 centro de alegre ","Centro","Alegre"," Conveniência",""
"Padaria skina do pão ","Fabricio abdalla guimaraes","28999407939","Rua decio santos 134 centro alegre","Centro","Alegre","Padaria",""
"Boteco do chef ","Fechado tem que ligar","28999531191","Antiga rua 15 numero 98 centro alegre","centro","Alegre","Restaurante",""
"Restaurante e bar garagem ","Alceia","28999345098","R antifa rua 15 de novembro centro alegre","Centro","Alegre","Restaurante",""
"Alegre mais sabor","Romilton","28999814079","R major quintino 88 centro alegre","Centro","Alegre","Sorveteria",""
"Gran verde","Thais","28999533721","Rod.fuede nemer- Conduru","","Conduru","Marmoraria",""
"Gle granitos","Kiko","28999838355","Rod. Fuede nemer- Conduru","","Conduru","Marmoraria",""
"Ghios stones","Felipe ghios","28981163299","Rua Gelson tava número 161 morro grande","Mgrande","São joaquim","Marmoraria",""
"Lanchonete e mercearia garrafao","Amilton ","28999833546","Praça 6 de janeiro s.n centro esquina com banco banestes alegre","Centro","Alegre","Mercearia",""
"Tempero com pólvora restaurante com clube de tiro","Aguinaldo","28999811346","Rod. Cachoeiro x soturno- lago dos esportes","","Cachoeiro de itapemirim ","Restaurante",""
"Rgs granitos","Vinícius","28999263365","Rod. Fuede nemer- Conduru","","Conduru ","Marmoraria",""
"Azul Mar","Jose Antônio ","28998837077","Rua Gelson Gava, Sao Joaquim ","","São Joaquim","Marmoraria",""
"Padaria e confeitaria alegrense","Sonia","28999784406","R francisco teixeira 28 centro alegre","Centro","Alegre","Padaria",""
"Gramabi comercio atacadista","Alexandra","28999952773","Sítio santo Antônio, distrito são Joaquim- Cachoeiro","","São Joaquim","Marmoraria",""
"Supermercado moreira","Nazir","2835520092","R quinze de novembro 160 centro alegre","Centro","Alegre","Supermercado",""
"Hortefrut maciel ","Jose antonio maciel ","28999351750","Rua 15 de novembro 123 centro alegre","Centro","Alegre","Supermercado",""
"Marmorex limitada ","Willan","28999960147","Agc. São Joaquim, zona rural","","São Joaquim","Marmoraria",""
"Padaria e mercearia amorim","Messias","28999246297","R coronel monteiro da gama 393 chacara da cerra alegre","Chacara da cerra","Alegre","Padaria",""
"Mercearia do batista","Vanuza moraes ou batista","28999092339","Praça nelson simao 38 centro alegre","Centro","Alegre","Mercearia",""
"News pedra","Lincon","28999498889","Fazenda São Joaquim ","","São Joaquim","Marmoraria",""
"Lojinha do athylla","Fechado tem que ligar","28999139822","R pompel teixeira moreira141 centro alegre","vila alta ","Alegre","Mercearia",""
"Bar do rubinho ","Nara","28999116763","Praça nelson Simão 12 bomba do saae vila alta alegre","vila alta ","Alegre","Restaurante",""
"Bar da marilene","Marilene","28999084530","R joao bravo vila alta alegre","vila alta ","Alegre","Restaurante",""
"Lanchonete da vanusa","Vanusa","28,999,860,027","R. Monsenhor pavesi s.n patio do posto ipiranga centro alegre","Centro","Alegre","Restaurante",""
"Alegre hotel ","Vanessa","2835521305","R. Monsenhor pavesi 165 patio do posto ipiranga centro alegre","Centro","Alegre","Hotéis",""
"Pastelaria da marlene","Marlene de azevedo ","28999564240","R. Monsenhor pavesi 186 centro alegre","Centro","Alegre","Restaurante",""
"Mercearia Rizzi ","Andréia ","28998856180","R. Monsenhor pavesi s.n centro alegre","Centro","Alegre","Mercearia",""
"Comida e Cia Delivery","Fechado tem que ligar","28988155938","Praça 6 de janeiro s.n centro alegre","Centro","Alegre","Restaurante",""
"Lanchonete lanchinho ","Maycom","28999396338","Praça  6 de janeiro s.n centro alegre","Centro","Alegre","Restaurante",""
"Lanchonete do verdinho","Sérgio ","28999648504","Praça 6 de janeiro s.n centro de alegre","Centro","Alegre","Restaurante",""
"Armazem progresso ","Rogério ","28999264959","Rua 15 de novembro n 21 centro alegre","Centro","Alegre","Mercearia",""
"BC supermercados","Isaias","28999561771","R. Dr wanderley 431 centro alegre","Centro","Alegre","Supermercado",""
"Restaurante e frango assado fidelis","Fechado tem que ligar","28999951605","R. Dr olivio c. Pedrosa 591 em frente ao tiro de guerra centro alegre","Centro","Alegre","Restaurante",""
"Kimel lanches","Fechado tem que ligar","2899925341","R. Dr olivio C. Pedrosa perto do tiro de guerra centro Alegre","Centro","Alegre","Restaurante",""
"Filtro café  bar","Arthur","2835534107","R. Letícia jorge monteiro 125 centro alegre","Centro","Alegre","Cafeteria",""
"Bar da celia ( baiacú)","Celia","28999647183","R. Vivaldo rosa vieira 37 vila do sul alegre","Vila do sul ","Alegre","Restaurante",""
"Iphome lanches ","Fechado tem que ligar","28999571117","Final da vila do sul s.n proximo a igreja catolica alegre","Vila do sul ","Alegre","Restaurante",""
"Bar do José luiz","José luiz ","28999515366","Rua godofredo costa menezes vila do sul alegre","Vila do sul ","Alegre","Restaurante",""
